title,company,location,link
퍼즐데이터 역량있는 데이터 분석가,"
주식회사퍼즐데이터",서울 역삼동,https://kr.indeed.com/viewjob?jk=116009dbf59211ed
인공지능 및 Python 개발자,"
이지스케이",서울 강남구,https://kr.indeed.com/viewjob?jk=186a8b83a77f65a1
Data Scientist,"
Soomgo",서울 강남구,https://kr.indeed.com/viewjob?jk=917cc06120add6e1
"Python, API 경력 정규직, 계약직","
라라",부산 수영구,https://kr.indeed.com/viewjob?jk=3d4a43483a78eca0
TA,"
제이씨이",성남 분당구,https://kr.indeed.com/viewjob?jk=8eca56448e2574c8
(주)에이쳐 인공지능(AI) 프로그래밍 교육 개발자,"
에이쳐",용인 처인구,https://kr.indeed.com/viewjob?jk=c2b0d1e1ce62e14f
[EY컨설팅] 컨설팅본부 Data & Analytics팀 경력 컨설턴트 모집,"
EY",대한민국,https://kr.indeed.com/viewjob?jk=3405c11d5281b93d
2020년 석/박사 [산업분석],"
현대글로비스",서울 강남구,https://kr.indeed.com/viewjob?jk=cef5f2b06f1c5370
2021-1회 인지 및 사회성 연구단 연구원 및 박사후연구원,"
기초과학연구원",대전,https://kr.indeed.com/viewjob?jk=fbdab97981902888
[취업연계교육]전액무료 IT교육받고 취업하자,"
휴먼교육센터",청주 흥덕구,https://kr.indeed.com/viewjob?jk=ce3e13c2bc8da256
RTL 기반 HW IP 설계 엔지니어 (딥러닝 하드웨어 프로세서 개발),"
딥엑스",성남 분당구,https://kr.indeed.com/viewjob?jk=6ede042ebe53ba49
Back-end Engineer (Python),"
Soomgo",서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
2021년 1월 신입/경력,"
나이스피앤아이",서울 여의도,https://kr.indeed.com/viewjob?jk=f9e6818f9892abd5
